"taxon_id","no0_median","low_2pnt5pct","low_10pct","high_90pct","high_97pnt5pct","prevalence","f0to2pnt5","f2pnt5to10","f10to90","f90to97pnt5","f97pnt5up","flag_pattern","type_1","category","message","taxon_type","colour_code","description","low","high","id","sample_type"
281,"2.5",0,0,5,5,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#4b3468","Bacteria belonging to the Capnocytophaga type 1 genus are common inhabitants of the oral cavity in dogs and cats. It is potentially pathogenic to humans.",0,10,83982,"oral"
469,"7.5",0,0,15,15,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#9dcc54","Bacteria of the Conchiformibius genus are commonly found in the oral cavity of dogs and cats. They help promote better oral health.
",0,25,83988,"oral"
208,"1.5",0,0,3,3,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#00b3b0","Corynebacterium are commonly found in healthy oral biofilm communities in dogs. There is evidence that a specie of Corynebacterium and Streptococcus sanguinis work together and are important for the healthy oral biofilm development. ",0,7,83978,"oral"
1675,"10",0,0,20,20,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#CDC8B1","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health.
",0,30,83992,"oral"
333,"1.5",0,0,3,3,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#643774","Bacteria belonging to the Fusibacter genus are one of the most abundant bacteria found in the oral cavity of cats. After a cat has a dental cleaning, the amount of Fusibacter bacteria has been shown to decrease. 
",0,7,83986,"oral"
215,"2.5",0,0,5,5,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#87ccaa","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health.

",0,10,83980,"oral"
760,"2.5",0,0,5,5,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#325b2c","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health.

",0,10,83981,"oral"
381,"0",0,0,1,1,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FFC0CB","Bacteria belonging to the Parvimonas genus occur in the oral cavity of dogs and are associated with periodontal disease. In particular, Parvimonas micra is thought to be a ‘keystone pathogen’ because it’s presence has been found to accelerate the damage caused by other oral pathogens. 

",0,5,84001,"oral"
680,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,576,"gut"
680,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5712,"gut"
367,"0",0,0,1,1,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FF8000","Peptostreptococcus was one of the most abundant genera in the oral microbiomes of dogs with mild periodontitis. Peptoclostridium, Romboutsia, and Proteocatella are other genera of bacteria in the same family that are also associated with periodontal disease. 

",0,5,84003,"oral"
897,"0",0,0,1,1,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF7D40","Bacteria belonging to this genus are associated with periodontal disease. This microbe is typically found living in the gastrointestinal tract. In the gut, may inhibit growth of pathogenic microbes but can also cause inflammation.

",0,5,84035,"oral"
489,"0",0,0,0,1,"0","green","green","green","green","red","6","cat","Pathobiont","NA","Key","#c5de91","Campylobacter is a pathobiont commonly found in low levels in the oral cavity of dogs that can potentially become a problem when the community becomes imbalanced. It’s increased relative abundance in the oral microbiota is associated with the progression of periodontal disease. ",0,5,84007,"oral"
266,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5342,"gut"
1831,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,1685,"gut"
1035,"0",0,0,0,1,"0","green","green","green","green","red","6","cat","Pathobiont","NA","Key","#FFA500","Bacteria belonging to the Escherichia genus may occur at very low levels in healthy pets. However, when found in appreciable amounts in the oral cavity, it indicates that the oral biofilm community lacks sufficient resistance to pathogen invasion.  If your pet has high levels of Escherichia Shigella, a bacteriophage cocktail called PreForPro is designed to reduce its levels. ",0,5,84010,"oral"
893,"0",0,0,0,0,"0","green","green","green","green","red","6","cat","Pathobiont","NA","Key","#FFC469","This a pathogen associated with impaired oral biofilms and is sometimes associated with chronic gastrointestinal issues.",0,5,84012,"oral"
894,"0",0,0,1,1,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF92BB","Bacteria belonging to the Paeniclostridium genus occur in the oral cavity of dogs and are associated with the progression of periodontal disease.",0,5,84029,"oral"
686,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5718,"gut"
686,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,582,"gut"
215,"4",0,0,8,8,"0","green","green","green","yellow","red","5","dog","Health associated","NA","Key","#87ccaa","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health.

",0,15,84018,"oral"
381,"0",0,0,1,1,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FFC0CB","Bacteria belonging to the Parvimonas genus occur in the oral cavity of dogs and are associated with periodontal disease. In particular, Parvimonas micra is thought to be a ‘keystone pathogen’ because it’s presence has been found to accelerate the damage caused by other oral pathogens. 

",0,5,84030,"oral"
520,"0",0,0,0,1,"0","green","green","green","green","red","6","cat","Pathobiont","NA","Key","#87c54f","This is a group of bacteria that includes Pseudomonas aeruginosa, an opportunistic pathogen found in the oral cavity. Pseudomonas can increase in abundance after the removal of plaque and calculus along the gum line with levels declining to a normal range within about 5 weeks.",0,5,84011,"oral"
526,"5",0,0,10,10,"0","green","green","green","yellow","red","5","dog","Health associated","NA","Key","#D0A9AA","Bacteria belonging to this genus have been found in the oral cavity of dogs, where they are associated with oral health.

",0,15,84017,"oral"
687,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,583,"gut"
687,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5719,"gut"
547,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,444,"gut"
547,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5581,"gut"
548,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5582,"gut"
548,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,445,"gut"
688,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5720,"gut"
688,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,584,"gut"
689,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5721,"gut"
689,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,585,"gut"
550,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,446,"gut"
550,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5583,"gut"
605,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,502,"gut"
605,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5638,"gut"
1094,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,954,"gut"
1094,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,6065,"gut"
617,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,513,"gut"
617,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5649,"gut"
347,"7.91022461",1.448101318,2.677238335,16.57962096,21.38674907,"100","red","yellow","green","yellow","red","1","cat","core taxa","unknown","Key","#5ba645","
Bacteria belonging to the Blautia genus produce anti-inflammatory compounds that help protect the digestive tract from becoming damaged due to chronic inflammation. If your pet’s sample is low in Blautia, it can be increased by adding a small amount of whole grain barley, seeds (including chia, flax, pumpkin, sunflower, and sesame seeds), or brown rice to the diet. ",0,24,11,"gut"
360,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,264,"gut"
360,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5420,"gut"
361,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,265,"gut"
361,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5421,"gut"
362,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5422,"gut"
362,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,266,"gut"
260,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,181,"gut"
260,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5338,"gut"
261,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","#FFA07A","NA",0,0,231,"gut"
264,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5340,"gut"
264,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,183,"gut"
262,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,182,"gut"
262,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5339,"gut"
263,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","#FF8C69","NA",0,0,73,"gut"
265,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,184,"gut"
265,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5341,"gut"
347,"7.51358219",0.590811116,1.969733915,15.68434174,28.60150057,"97.93814433","red","yellow","green","yellow","red","1","dog","core taxa","unknown","Key","#5ba645","
Bacteria belonging to the Blautia genus produce anti-inflammatory compounds that help protect the digestive tract from becoming damaged due to chronic inflammation. If your pet’s sample is low in Blautia, it can be increased by adding a small amount of whole grain barley, seeds (including chia, flax, pumpkin, sunflower, and sesame seeds), or brown rice to the diet. ",0,32,8,"gut"
266,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,185,"gut"
377,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5433,"gut"
377,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,277,"gut"
378,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5434,"gut"
378,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,288,"gut"
379,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,289,"gut"
929,"2.05923145",0.311479132,0.397650623,5.342906684,7.483264459,"57.37704918","ltgreen","ltgreen","green","yellow","red","4","cat","core taxa","unknown","Key","#37315c","Bacteria belonging to the Catenibacterium genus help your pet digest carbohydrates. They tend to be more abundant in animals consuming diets high in fat and sugars. As a result, over abundance of Catenibacterium are associated with increased risk for a number of health issues, including cardiovascular disease. To help decrease a larger Catenibacterium population, consider switching to a food with more protein and less carbohydrate. ",0,10,90,"gut"
379,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5435,"gut"
380,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,290,"gut"
380,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5436,"gut"
381,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","Bacteria belonging to the Parvimonas genus occur in the oral cavity of dogs and are associated with periodontal disease. In particular, Parvimonas micra is thought to be a ‘keystone pathogen’ because it’s presence has been found to accelerate the damage caused by other oral pathogens. 

",0,0,291,"gut"
929,"1.55389295",0.332575535,0.48911454,8.08199182,11.12233825,"54.63917526","green","green","green","yellow","red","5","dog","core taxa","acceptable","Key","#37315c","Bacteria belonging to the Catenibacterium genus help your pet digest carbohydrates. They tend to be more abundant in animals consuming diets high in fat and sugars. As a result, over abundance of Catenibacterium are associated with increased risk for a number of health issues, including cardiovascular disease. To help decrease a larger Catenibacterium population, consider switching to a food with more protein and less carbohydrate. ",0,13,69,"gut"
846,"1.59536669",0.326845957,0.598431868,5.150033536,6.547502907,"72.13114754","yellow","yellow","green","yellow","red","3","cat","core taxa","unknown","Key","#953d79","
Bacteria belonging to the Clostridium genus have been linked with high-protein, low-carbohydrate diets, which are recommended for healthy weight loss. They also tend to be more abundant in pets that are fed raw diets. But too much Clostridium can be problematic; to reduce Clostridium levels, consider adding Saccharomyces boulardii, a yeast-based probiotic, to your pet's regimen. This strain of yeast helps decrease the amount of Clostridium bacteria in the gut. Adding a small amount of a soluble fiber (psyllium husk powder, inulin, or acacia gum) and reducing intake of whole grains in your pet’s diet may help to lower Clostridium levels.
",0,9,102,"gut"
381,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","Bacteria belonging to the Parvimonas genus occur in the oral cavity of dogs and are associated with periodontal disease. In particular, Parvimonas micra is thought to be a ‘keystone pathogen’ because it’s presence has been found to accelerate the damage caused by other oral pathogens. 

",0,0,5437,"gut"
731,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,626,"gut"
731,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5762,"gut"
382,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,292,"gut"
382,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5438,"gut"
383,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,5439,"gut"
383,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","cat","non-core taxa","unknown","Other","NA","NA",0,0,293,"gut"
796,"0",0,0,6,6,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FF6EC7","Bacteria in the genus Alloprevotella are associated with periodontal disease, including periodontitis, halitosis, and dental caries. 
",0,10,83997,"oral"
896,"0",0,0,1,1,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF8247","Peptoclostridium are pathobionts that are rarely found in the oral cavity. Their presence may indicate an imbalance resulting from poor oral health or viral infection, such as Canine Parvovirus.
",0,5,84032,"oral"
204,"0",0,0,3,3,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FF9912","Anaerobic bacteria belonging to the Actinomyces genus are common inhabitants in the oral and nasal cavities of dogs and cats. While Actinomyces has been found to be one of the most abundant genera in the oral microbiome of both healthy dogs and those with periodontal disease, elevated levels of Actinomyces are associated with periodontal disease. In veterinary medicine, they are also associated with abscess formation in cuts or puncture wounds.
",0,7,83995,"oral"
510,"0",0,0,1,1,"0","green","green","green","yellow","red","5","cat","Periodontal disease associated","NA","Key","#FF7216","These bacteria are most commonly associated with localized aggressive periodontitis in the oral cavity, specifically in the subgingival plaque and lesions. 

",0,5,83996,"oral"
257,"0",0,0,7,7,"0","green","green","green","yellow","red","5","dog","Periodontal disease associated","NA","Key","#FF9955","Bacteroides are a group of anaerobic bacteria commonly found in the gut, but are typically associated with periodontal disease when they occur in abundance in the oral cavity.
",0,12,84024,"oral"
817,"5",0,0,10,10,"0","green","green","green","yellow","red","5","dog","Health associated","NA","Key","#793a7e","Bergeyella is a member of healthy oral biofilm communities in dogs and decreases in relative abundance in dogs who progress to mild to moderate periodontal disease. Bergeyella was found to be in high abundance with Porphyromona and Moraxella species in dogs with no periodontal disease. 

",0,15,84016,"oral"
1831,"0",0,0,5,10,"NA","green","green","green","yellow","red","5","dog","non-core taxa","unknown","Other","NA","NA",0,0,6796,"gut"
817,"1.5",0,0,3,3,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#793a7e","Bergeyella is a member of healthy oral biofilm communities in dogs and decreases in relative abundance in dogs who progress to mild to moderate periodontal disease. Bergeyella was found to be in high abundance with Porphyromona and Moraxella species in dogs with no periodontal disease. 

",0,7,83984,"oral"
835,"0",0,0,0,1,"0","green","green","green","green","red","6","dog","Pathobiont","NA","Key","#FFDAB9","Campylobacter is a pathobiont commonly found in low levels in the oral cavity of dogs that can potentially become a problem when the community becomes imbalanced. It’s increased relative abundance in the oral microbiota is associated with the progression of periodontal disease. 

",0,5,84042,"oral"
1348,"7.5",0,0,15,15,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#FFDAB9","Bacteria of the Conchiformibius genus are commonly found in the oral cavity of dogs and cats. They help promote better oral health.
",0,25,83989,"oral"
747,"1.5",0,0,3,3,"0","green","green","green","yellow","red","5","cat","Health associated","NA","Key","#1d345f","Corynebacterium are commonly found in healthy oral biofilm communities in dogs. There is evidence that a specie of Corynebacterium and Streptococcus sanguinis work together and are important for the healthy oral biofilm development. ",0,7,83979,"oral"
